name,code,year,degree_level
Argentina,ARG,2020,14.0340089
Armenia,ARM,2020,24.19773908
Australia,AUS,2020,27.96245962
Austria,AUT,2020,14.80913231
Bahamas,BHS,2020,22.80299135
Bahrain,BHR,2020,14.45461706
Bangladesh,BGD,2020,14.70523242
Belgium,BEL,2020,31.09935878
Belize,BLZ,2020,14.47789789
Benin,BEN,2020,3.47802277
Bolivia,BOL,2020,22.3916509
Brazil,BRA,2020,8.780421938
Bulgaria,BGR,2020,23.25405966
Burkina Faso,BFA,2020,2.900565247
Cambodia,KHM,2020,1.961849432
Cameroon,CMR,2020,6.442970183
Canada,CAN,2020,39.16034307
Central African Republic,CAF,2020,3.700180989
Chad,TCD,2020,1.550050732
Chile,CHL,2020,29.25581351
China,CHN,2020,7.797640395
Colombia,COL,2020,18.644955
Comoros,COM,2020,5.74803557
Costa Rica,CRI,2020,20.47826256
Cote d'Ivoire,CIV,2020,5.859060168
Croatia,HRV,2020,11.92591099
Cuba,CUB,2020,11.07798531
Cyprus,CYP,2020,19.13097955
Czechia,CZE,2020,13.07334442
Denmark,DNK,2020,24.94138227
Dominican Republic,DOM,2020,23.46018038
Ecuador,ECU,2020,21.31130617
Egypt,EGY,2020,18.66071305
El Salvador,SLV,2020,15.94966082
Eritrea,ERI,2020,7.293656148
Estonia,EST,2020,19.52933387
Ethiopia,ETH,2020,2.069581091
Finland,FIN,2020,34.6863378
France,FRA,2020,28.8553892
Gabon,GAB,2020,9.895424025
Germany,DEU,2020,23.07854274
Ghana,GHA,2020,6.687788132
Greece,GRC,2020,21.05904718
Guatemala,GTM,2020,7.997272915
Guinea,GIN,2020,4.744937307
Guyana,GUY,2020,11.00036212
Haiti,HTI,2020,4.932767557
Honduras,HND,2020,7.977643328
Hong Kong,HKG,2020,25.60100654
Hungary,HUN,2020,15.70004748
India,IND,2020,9.445015386
Indonesia,IDN,2020,10.33303626
Iran,IRN,2020,13.6287076
Ireland,IRL,2020,33.0318247
Italy,ITA,2020,12.17394503
Japan,JPN,2020,38.11831484
Jordan,JOR,2020,2.261703838
Kazakhstan,KAZ,2020,21.36876839
Kenya,KEN,2020,10.47628028
Kyrgyzstan,KGZ,2020,20.40578449
Laos,LAO,2020,13.06925223
Latvia,LVA,2020,20.26577116
Lithuania,LTU,2020,19.30967549
Luxembourg,LUX,2020,19.88723014
Macao,MAC,2020,16.2053847
Madagascar,MDG,2020,3.835791736
Malawi,MWI,2020,1.045858013
Malaysia,MYS,2020,17.46202612
Maldives,MDV,2020,2.62214971
Mali,MLI,2020,2.817498674
Malta,MLT,2020,14.27038579
Mauritania,MRT,2020,5.788585198
Mauritius,MUS,2020,3.737396541
Mexico,MEX,2020,15.9353795
Mongolia,MNG,2020,25.04760092
Morocco,MAR,2020,9.988914649
Mozambique,MOZ,2020,1.081157169
Myanmar,MMR,2020,8.546264761
Namibia,NAM,2020,4.679537466
Nepal,NPL,2020,7.885972902
Netherlands,NLD,2020,23.40875325
New Zealand,NZL,2020,27.56569017
Nicaragua,NIC,2020,16.40046178
Niger,NER,2020,1.957063101
Nigeria,NGA,2020,12.2331563
North Macedonia,MKD,2020,13.28316466
Norway,NOR,2020,29.32205292
Pakistan,PAK,2020,8.931863798
Panama,PAN,2020,21.96756425
Paraguay,PRY,2020,16.64953734
Peru,PER,2020,15.57307784
Philippines,PHL,2020,26.64283698
Poland,POL,2020,17.7296766
Portugal,PRT,2020,20.55286367
Romania,ROU,2020,11.7488843
Russia,RUS,2020,26.86390089
Rwanda,RWA,2020,1.575744147
Saudi Arabia,SAU,2020,13.75321135
Singapore,SGP,2020,33.05412306
Slovakia,SVK,2020,14.77711663
Slovenia,SVN,2020,19.18155391
South Africa,ZAF,2020,11.35948842
South Korea,KOR,2020,33.98050334
Spain,ESP,2020,11.06571463
Sri Lanka,LKA,2020,19.73211035
Sweden,SWE,2020,24.56914122
Switzerland,CHE,2020,23.08009262
Syria,SYR,2020,5.97856753
Tajikistan,TJK,2020,11.67462215
Tanzania,TZA,2020,1.514281555
Thailand,THA,2020,18.32102442
Togo,TGO,2020,2.73296596
Turkey,TUR,2020,10.83548411
Turkmenistan,TKM,2020,15.81723058
Uganda,UGA,2020,7.253447436
Ukraine,UKR,2020,20.23216039
United Kingdom,GBR,2020,27.7505596
United States,USA,2020,27.01490354
Uruguay,URY,2020,6.522740889
Uzbekistan,UZB,2020,19.54564046
Vietnam,VNM,2020,6.345064617
Zambia,ZMB,2020,7.280779623
Zimbabwe,ZWE,2020,8.862740066
